player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Reed Browning,rbrowning,shred,44,-1.8639957431943923,-0.04236353961805437,0.9821800164499933,-4.804545454545455
Jeff Maskalunas,jmaskalun,radicals,29,-1.2309735734632052,-0.04244736460217949,0.9754455331710437,-6.644482758620692
John Randolph,jrandolph,empire,49,-2.0838554452793927,-0.042527662148559034,0.9778179312040862,-5.687755102040816
Brandon Dial,bdial,sol,51,-2.173248541286198,-0.042612716495807806,0.9806054804940662,-5.537254901960785
Tony Goss,tgoss,spiders,32,-1.3663514030480186,-0.04269848134525058,0.9836915292247911,-4.733125
Dylan Hawkins,dhawkins,flyers,124,-5.299025246045671,-0.04273407456488445,0.9774458719610954,-7.305322580645162
Jacob Louie,jlouie,flyers,92,-3.9560471953731757,-0.04300051299318669,0.9768842868830497,-4.935652173913044
Andrew Sjogren,asjogren,union,63,-2.7146730229090874,-0.04309004798268393,0.9851587129488967,-5.6242857142857146
Theo Shapinsky,tshapinsk,breeze,42,-1.8222846990635653,-0.04338773093008489,0.9744874296126249,-6.5252380952380955
Cameron Brock,cbrock,alleycats,87,-3.7784874795602277,-0.043430890569657786,0.9826383270493739,-5.365747126436782
Jared Scheinberg,jscheinbe,shred,31,-1.3528613148845756,-0.04364068757692179,0.9826536947726604,-6.087741935483872
Brian Gfroerer,bgfroerer,havoc,60,-2.635960343239521,-0.04393267238732535,0.9836304665341077,-5.528333333333334
Mark Turner,mturner,havoc,86,-3.7829306477888096,-0.0439875656719629,0.9756543709661255,-6.249534883720931
Chander Boyd-Fliegel,cboydflie,spiders,40,-1.7759446000405377,-0.04439861500101344,0.9766583417471105,-6.206
Tommy Li,tli,cascades,38,-1.6905755640417996,-0.04448883063267894,0.9832271870447326,-5.564473684210526
Jayden Feagans,jfeagans,union,39,-1.7386832336100226,-0.044581621374615965,0.9824980818917428,-5.9828205128205125
Benjamin Preiss,bpreiss,union,50,-2.2330648814475165,-0.04466129762895033,0.9831374972452318,-5.134599999999999
Phil Turner,pturner,rush,35,-1.5676532077655185,-0.044790091650443384,0.9842622704508006,-6.109142857142857
Dillon Whited,dwhited,spiders,31,-1.345476957620776,-0.04484923192069253,0.9630663425229788,-4.995806451612903
Will Selfridge,wselfridg,hustle,56,-2.535670957464101,-0.04527983852614466,0.9805390101954005,-4.692321428571427
Dylan Best,dbest,thunderbirds,52,-2.3659754724651347,-0.04549952831663721,0.979280251127274,-5.78
Nathanael Le Marois,nlemarois,royal,25,-1.1391781956242868,-0.04556712782497147,0.9821572925400354,-3.8944
John McMonigal,jmcmoniga,thunderbirds,25,-1.1407014011718042,-0.045628056046872166,0.9824126084911938,-5.5920000000000005
Ian McCosky,imccosky,radicals,105,-4.80346673519068,-0.04574730223991124,0.9669048725678312,-5.471619047619048
Christophe Tremblay-Joncas,ctremblay,royal,56,-2.5753715072363117,-0.04598877691493414,0.9840158311553493,-5.165714285714286
Malik Auger-Semmar,maugersem,royal,70,-3.224180903488946,-0.046059727192699226,0.9822780460916901,-5.457714285714286
Oscar Brown,obrown,shred,26,-1.1978283396298837,-0.04607032075499552,0.981870219703909,-5.241538461538463
Ryan Poloz,rpoloz,rush,76,-3.5086170129013583,-0.04616601332764945,0.9814903001531121,-5.981052631578947
Steven Kelly,skelly,havoc,25,-1.154447471078974,-0.04617789884315896,0.9830512512003886,-5.031199999999999
Michael Poe,mpoe,hustle,28,-1.2931147674821513,-0.046182670267219686,0.9779779779659253,-5.165357142857144
