type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
1,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan']",398.0,,,,,,,,,,,,,,home
7,,,zarmstron,-4.5,107.36,3319.0,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,jmcclean,-5.94,60.48,orobinson,0.44,50.93,,,,home
18,,,,,,,orobinson,0.44,50.93,jmcclean,5.8,49.35,,,,home
18,,,,,,,jmcclean,5.8,49.35,khuang,24.53,48.67,,,,home
18,,,,,,,khuang,24.53,48.67,cchan,1.88,54.85,,,,home
18,,,,,,,cchan,1.88,54.85,ktong,7.72,67.55,,,,home
18,,,,,,,ktong,7.72,67.55,orobinson,-6.56,61.23,,,,home
18,,,,,,,orobinson,-6.56,61.23,zarmstron,-21.18,73.31,,,,home
18,,,,,,,zarmstron,-21.18,73.31,khuang,-13.15,79.7,,,,home
22,,,,,,,khuang,-13.15,79.7,,,,,-4.78,82.31,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,orobinson,-3.13,19.49,khuang,-4.43,39.33,,,,home
18,,,,,,,khuang,-4.43,39.33,tpuckrin,-11.43,51.48,,,,home
22,,,,,,,tpuckrin,-11.43,51.48,,,,,4.15,53.68,home
17,,,,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",548.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,-4.71,12.42,aturcotte,0.3,21.07,,,,home
18,,,,,,,aturcotte,0.3,21.07,rcarvalho,5.18,30.82,,,,home
18,,,,,,,rcarvalho,5.18,30.82,gmckee,9.78,44.82,,,,home
18,,,,,,,gmckee,9.78,44.82,rpoloz,19.18,46.75,,,,home
18,,,,,,,rpoloz,19.18,46.75,ostonehou,25.15,59.93,,,,home
18,,,,,,,ostonehou,25.15,59.93,aturcotte,20.21,40.98,,,,home
18,,,,,,,aturcotte,20.21,40.98,aodonnell,1.81,28.0,,,,home
18,,,,,,,aodonnell,1.81,28.0,gmckee,-10.06,44.0,,,,home
